"name","lat","lon","value"
"Jayanagara 9th Block,JAYANAGARA 9TH BLOCK,BESIDE HOTEL SRI SAI",12.9197565816,77.5923588994,0.45
"Jayanagara T Block,JAYANAGARA 4TH T BLOCK,BESIDE HDFC BANK",12.9226893215,77.5933845452,0.45
"Jayanagara 18th Main,JAYANAGARA 4TH T BLOCK,OPPOSITE OF LAKSHMI AYURVEDIC CENTER",12.9231859777,77.5887716806,0.45
"Church,JAYANAGARA 4TH T BLOCK,BESIDE POORNIMA CONVENTION",12.9279596029,77.5876041867,0.45
"Jayanagara 4th Block,TTMC",12.9284826437,77.5842095912,0.45
"Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS",12.9317783285,77.5839063618,0.45
"Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE",12.9361068271,77.5839236286,0.45
"Southend Circle,BASAVANAGUDI,BESIDE GANDHARVA FAMILY BAR",12.9366643075,77.5766457058,0.45
"Nagasandra Circle,BASAVANAGUDI,BESIDE PROSPER PARK APPARTMENT",12.93672057,77.5721701369,0.45
"Netakallappa Circle,BASAVANAGUDI,OPPOSITE OF GURU RAGHAVENDRA BANK",12.9395624343,77.5721522514,0.45
"Basavanagudi Police Station,BASAVANAGUDI,BESIDE ACHIEVE SCHOOL OF EDUCATION",12.94189,77.57358,0.45
"Gandhi Bazaar,BASAVANAGUDI,BESIDE ASHOKA PLAZA",12.9457424115,77.5707005896,0.45
"Ramakrishna Ashrama,GAVIPURAM EXTENTION,OPPOSITE OF STATE BANK OF INDIA",12.9491474778,77.5675610176,0.45
"Bangalore High School,KEMPE GOWDA NAGARA,IN FRONT OF MORE MEGHA STORE",12.9518947285,77.5674634986,0.45
"Chamarajapet,CHAMARAJA PETE,BESIDE VENKUS & CO. PETROL BUNK",12.957194522,77.5682954863,0.45
"Makkalakoota",12.95850855,77.57402561,0.45
"Krishnarajendra Market",12.96161187,77.57527904,0.45
"Veterinary Hospital",12.96366,77.56843,0.45
"Goodshed Road Gate,COTTONPET,BESIDE BALAGANGADHARANATHA SWAMYJI FREE HOSTEL SCHOOL",12.9681187418,77.5680068207,0.45
"Majestic,Opposite to City Railway Station",12.97736,77.57074,0.45
"Ananda Rao Circle,IN FRONT OF DIRECTOR OF MEDICAL EDUCATION",12.9817447955,77.5744813129,0.45
"Central,SHESHADRI PURAM,OPPOSITE TO HOTEL GREEN ARCHID",12.9899747664,77.572098666,0.45
"Malleshwaram Circle,MALLESHWARAM,BESIDE R.R.GOLD PALACE",12.997890132,77.571309994,0.45
"Malleshwaram 8th Cross,MALLESHWARAM,BESIDE FLOWER MARKET",12.99966,77.57128,0.45
"Malleshwaram 15th Cross,MALLESHWARAM,BESIDE SAI MANDIR",13.005030714,77.5711547211,0.45
"Malleshwaram 18th Cross,MALLESHWARAM,BESIDE KARNATAKA EXAMINATION AUTHORITY",13.0090816878,77.5710476004,0.45
"Tata Institute",13.01565694,77.56289701,0.45
"Yeshawanthapura TTMC",13.0174207461,77.5570775943,0.45
"Govardhan Talkies,YESHAWANTHPURA,BESIDE BSNL OFFICE",13.01856,77.5532,0.45
"Yeshwanathapura new railway station",13.02311,77.55029,0.45
"JPNagara 6th Phase,JP NAGARA 6TH PHASE,OPPOSITE OF THE BIG MARKET",12.9064924294,77.57761254,0.45
"JP Nagara 15th Cross,JP NAGARA 2ND PHASE,BESIDE CELL CITY",12.9071376265,77.5856277851,0.45
"RVDental College,JP NAGARA 1ST PHASE,BESIDE R.V.COLLEGE",12.9111515544,77.5856779609,0.45
"Marenahalli,JP NAGARA 1ST PHASE,BESIDE 3M CAR CARE",12.9153368901,77.5856925454,0.45
"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE AIR WAAVE",12.9174407478,77.5835442636,0.45
"Telephone Exchange,JAYANAGARA 4TH BLOCK,BESIDE BSNL OFFICE",12.9237699229,77.5837743469,0.45
"BTM Layout,BTM Layout 2nd Stage,Kuvempunagara Bus Stand",12.916211,77.615991,0.45
"Udupi Garden 16th Main,BTM Layout,Opp Axis Bank",12.916535,77.608779,0.45
"BTM water Tank,BTM LAYOUT,OPPOSITE OF CORPORATION BANK",12.9164504022,77.6067753888,0.45
"MICO Layout,BTM LAYOUT,IN FRONT OF METRIC STREAM",12.9164701154,77.6043445058,0.45
"Jayadeva Hospital,BTM MICO LAYOUT,OPPOSITE OF JAYADEVA HOSPITAL",12.9165617813,77.5995681388,0.45
"East End,Adjacent to Shekhar Hospital",12.9175158545,77.5950576739,0.45
"Jayanagara Pump House,JAYANAGARA 9TH BLOCK,BESIDE SAINT MARY ENTERPRISES",12.9217955557,77.5969113038,0.45
"Carmel Convent Jayanagara,JAYANAGARA 4TH T BLOCK,BESIDE THINK SPAN TECHNOLOGIES",12.926636453,77.5970395034,0.45
"Jayanagara General Hospital,JAYANAGARA 4TH T BLOCK,RAJEEV GANDHI UNIVERSITY OF HEALTH",12.9269371964,77.5924136516,0.45
"Church,JAYANAGARA 4TH T BLOCK,BESIDE THASHI'S HERBAL",12.9269082685,77.589735556,0.45
"City Civil Court",12.973503,77.582949,0.45
"KR Circle,BESIDE DISTRICT TREASURY OFFICE",12.9737512954,77.586767273,0.45
"St Marthas Hospital,BESIDE POLICE HEAD QUARTERS",12.9698050953,77.5872509088,0.45
"Corporation",12.96459373,77.58816043,0.45
"Poornima Talkies,K.S.GARDEN,BESIDE KAVERI ENTERPRISES",12.9608759377,77.5882853195,0.45
"Shanthi Nagara Bus Station,SHANTHI NAGAR,OPPOSITE TO SHANTHINAGAR TTMC",12.95446,77.59148,0.45
"KH Road",12.95836876,77.5929835,0.45
