"route_no","start","end","up"
"1","07:35","08:50",1
"1","08:15","09:30",1
"1","08:55","10:10",1
"1","10:40","11:55",1
"1","11:20","12:35",1
"1","12:00","13:15",1
"1","13:20","14:35",1
"1","14:00","15:15",1
"1","14:40","15:55",1
"1","16:25","17:40",1
"1","17:05","18:20",1
"1","17:45","19:00",1
"1","08:55","10:10",0
"1","09:35","10:50",0
"1","10:40","11:55",0
"1","12:00","13:15",0
"1","12:40","13:55",0
"1","13:20","14:35",0
"1","14:40","15:55",0
"1","15:20","16:35",0
"1","16:25","17:40",0
"1","17:45","19:35",0
"1","18:25","19:55",0
"1E","07:20","08:45",1
"1E","10:45","12:20",1
"1E","17:30","18:55",1
"1E","21:00","22:25",1
"1E","05:30","07:15",0
"1E","08:50","10:15",0
"1E","15:35","17:00",0
"1E","19:00","20:30",0
"1F","08:20","09:10",1
"1F","10:10","11:00",1
"1F","12:25","13:15",1
"1F","14:15","15:05",1
"1F","16:25","17:10",1
"1F","18:10","19:00",1
"1F","09:15","10:05",0
"1F","11:30","12:20",0
"1F","13:20","14:10",0
"1F","15:10","15:55",0
"1F","17:15","18:05",0
"1F","19:05","19:55",0
"CCC-1","09:05","10:00",1
"CCC-1","10:05","11:00",1
"CCC-1","11:05","12:00",1
"CCC-1","12:30","13:25",1
"CCC-1","13:30","14:25",1
"CCC-1","14:30","15:25",1
"CCC-1","15:30","16:25",1
"CCC-1","16:55","17:50",1
"CCC-1","17:55","18:50",1
"CCC-1","09:05","10:00",0
"CCC-1","10:05","11:00",0
"CCC-1","11:05","12:00",0
"CCC-1","12:30","13:25",0
"CCC-1","13:30","14:25",0
"CCC-1","14:30","15:25",0
"CCC-1","15:30","16:25",0
"CCC-1","16:55","17:50",0
"CCC-1","17:55","18:50",0
"FDR-1","05:30","06:35",1
"FDR-1","06:05","07:10",1
"FDR-1","06:15","07:20",1
"FDR-1","06:40","07:45",1
"FDR-1","07:15","08:20",1
"FDR-1","07:25","08:30",1
"FDR-1","07:40","08:45",1
"FDR-1","07:50","08:55",1
"FDR-1","08:20","09:25",1
"FDR-1","08:35","09:40",1
"FDR-1","08:50","09:55",1
"FDR-1","09:00","10:05",1
"FDR-1","09:30","10:35",1
"FDR-1","09:45","10:50",1
"FDR-1","10:00","11:05",1
"FDR-1","10:35","11:40",1
"FDR-1","11:05","12:10",1
"FDR-1","11:20","12:25",1
"FDR-1","11:35","12:40",1
"FDR-1","11:45","12:50",1
"FDR-1","12:15","13:20",1
"FDR-1","12:30","13:35",1
"FDR-1","12:45","13:50",1
"FDR-1","13:25","14:30",1
"FDR-1","13:40","14:45",1
"FDR-1","13:55","15:00",1
"FDR-1","14:35","15:40",1
"FDR-1","14:50","15:55",1
"FDR-1","15:05","16:10",1
"FDR-1","15:15","16:20",1
"FDR-1","15:45","16:50",1
"FDR-1","16:00","17:05",1
"FDR-1","16:15","17:20",1
"FDR-1","16:25","17:30",1
"FDR-1","16:55","18:00",1
"FDR-1","17:10","18:15",1
"FDR-1","17:25","18:30",1
"FDR-1","18:00","19:05",1
"FDR-1","18:30","19:35",1
"FDR-1","18:45","19:50",1
"FDR-1","19:10","20:15",1
"FDR-1","19:40","20:50",1
"FDR-1","19:55","21:00",1
"FDR-1","20:20","21:15",1
"FDR-1","21:05","21:25",1
"FDR-1","21:30","22:35",1
"FDR-1","05:30","06:35",0
"FDR-1","06:05","07:10",0
"FDR-1","06:15","07:20",0
"FDR-1","06:40","07:45",0
"FDR-1","07:15","08:20",0
