"route_no","busstop","serial"
"1","Jayanagara 9th Block,JAYANAGARA 9TH BLOCK,BESIDE HOTEL SRI SAI","1"
"1","Jayanagara T Block,JAYANAGARA 4TH T BLOCK,BESIDE HDFC BANK","2"
"1","Jayanagara 18th Main,JAYANAGARA 4TH T BLOCK,OPPOSITE OF LAKSHMI AYURVEDIC CENTER","3"
"1","Church,JAYANAGARA 4TH T BLOCK,BESIDE POORNIMA CONVENTION","4"
"1","Jayanagara 4th Block,TTMC","5"
"1","Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS","6"
"1","Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE","7"
"1","Southend Circle,BASAVANAGUDI,BESIDE GANDHARVA FAMILY BAR","8"
"1","Nagasandra Circle,BASAVANAGUDI,BESIDE PROSPER PARK APPARTMENT","9"
"1","Netakallappa Circle,BASAVANAGUDI,OPPOSITE OF GURU RAGHAVENDRA BANK","10"
"1","Basavanagudi Police Station,BASAVANAGUDI,BESIDE ACHIEVE SCHOOL OF EDUCATION","11"
"1","Gandhi Bazaar,BASAVANAGUDI,BESIDE ASHOKA PLAZA","12"
"1","Ramakrishna Ashrama,GAVIPURAM EXTENTION,OPPOSITE OF STATE BANK OF INDIA","13"
"1","Bangalore High School,KEMPE GOWDA NAGARA,IN FRONT OF MORE MEGHA STORE","14"
"1","Chamarajapet,CHAMARAJA PETE,BESIDE VENKUS & CO. PETROL BUNK","15"
"1","Makkalakoota","16"
"1","Krishnarajendra Market","17"
"1","Veterinary Hospital","18"
"1","Goodshed Road Gate,COTTONPET,BESIDE BALAGANGADHARANATHA SWAMYJI FREE HOSTEL SCHOOL","19"
"1","Majestic,Opposite to City Railway Station","20"
"1","Ananda Rao Circle,IN FRONT OF DIRECTOR OF MEDICAL EDUCATION","21"
"1","Central,SHESHADRI PURAM,OPPOSITE TO HOTEL GREEN ARCHID","22"
"1","Malleshwaram Circle,MALLESHWARAM,BESIDE R.R.GOLD PALACE","23"
"1","Malleshwaram 8th Cross,MALLESHWARAM,BESIDE FLOWER MARKET","24"
"1","Malleshwaram 15th Cross,MALLESHWARAM,BESIDE SAI MANDIR","25"
"1","Malleshwaram 18th Cross,MALLESHWARAM,BESIDE KARNATAKA EXAMINATION AUTHORITY","26"
"1","Tata Institute","27"
"1","Yeshawanthapura TTMC","28"
"1","Govardhan Talkies,YESHAWANTHPURA,BESIDE BSNL OFFICE","29"
"1","Yeshwanathapura new railway station","30"
"1E","JPNagara 6th Phase,JP NAGARA 6TH PHASE,OPPOSITE OF THE BIG MARKET","1"
"1E","JP Nagara 15th Cross,JP NAGARA 2ND PHASE,BESIDE CELL CITY","2"
"1E","RVDental College,JP NAGARA 1ST PHASE,BESIDE R.V.COLLEGE","3"
"1E","Marenahalli,JP NAGARA 1ST PHASE,BESIDE 3M CAR CARE","4"
"1E","Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE AIR WAAVE","5"
"1E","Telephone Exchange,JAYANAGARA 4TH BLOCK,BESIDE BSNL OFFICE","6"
"1E","Jayanagara 4th Block,TTMC","7"
"1E","Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS","8"
"1E","Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE","9"
"1E","Vijaya College,BASAVANAGUDI,OPPOSITE OF INFORMATICS","10"
"1E","RV Teachers College,BASAVANAGUDI,BESIDE MEGA AGENSIS","11"
"1E","Lalbagh West Gate,V.V.PURAM,BESIDE HDFC BANK","12"
"1E","Minarva Circle,V.V.PURAM","13"
"1E","Town Hall,OPPOSITE OF RANI CHANNAMMA STATUE","14"
"1E","Corporation,CORPORATION,IN FRONT OF BANAPPA PARK","15"
"1E","Mysore Bank,VASANTHA NAGARA,BESIDE ALL INDIA COUNCIL FOR TECHNICAL","16"
"1E","Telephone Exchange,VASANTHA NAGARA,BESIDE TELEPHONE EXCHANGE","17"
"1E","RC College,VASANTHA NAGARA,BESIDE R.C.COLLEGE","18"
"1E","Shivananda Stores,VASANTHA NAGARA,BESIDE SEA ROCK RESTAURANT","19"
"1E","Swastik,SHESHADRI PURAM,OPPOSITE OF SESHADRIPURAM POLICE STATION","20"
"1E","Central,SHESHADRI PURAM,OPPOSITE TO HOTEL GREEN ARCHID","21"
"1E","Malleshwaram Circle,MALLESHWARAM,BESIDE R.R.GOLD PALACE","22"
"1E","Malleshwaram 8th Cross,MALLESHWARAM,BESIDE FLOWER MARKET","23"
"1E","Malleshwaram 15th Cross,MALLESHWARAM,BESIDE SAI MANDIR","24"
"1E","Malleshwaram 18th Cross,MALLESHWARAM,BESIDE KARNATAKA EXAMINATION AUTHORITY","25"
"1E","Tata Institute","26"
"1E","Yeshwanthpura","27"
"1E","Yeshwanthpura Market,YESHAWANTHAPURA,IN FRONT OF SYNDICATE BANK ATM","28"
"1E","Bombay Dyeing,YESHAWANTHAPURA,IN FRONT OF RAGHU MEDICALS","29"
"1E","Mathikere Post Office,MATHIKERE,IN FRONT OF SAI INTERNATIONAL ELECTRONICS","30"
"1E","Mathikere,MATHIKERE,IN FRONT OF VINAYAKA CONDIMENTS","31"
"1E","Chowdeshwari Bus Stand JP Park,MATHIKERE, CHOUDESHWARI BUS STOP,IN FRONT OF LOK ANAND APARTMENTS","32"
"1F","BTM Layout,BTM Layout 2nd Stage,Kuvempunagara Bus Stand","1"
"1F","Udupi Garden 16th Main,BTM Layout,Opp Axis Bank","2"
"1F","BTM water Tank,BTM LAYOUT,OPPOSITE OF CORPORATION BANK","3"
"1F","MICO Layout,BTM LAYOUT,IN FRONT OF METRIC STREAM","4"
"1F","Jayadeva Hospital,BTM MICO LAYOUT,OPPOSITE OF JAYADEVA HOSPITAL","5"
"1F","East End,Adjacent to Shekhar Hospital","6"
"1F","Jayanagara Pump House,JAYANAGARA 9TH BLOCK,BESIDE SAINT MARY ENTERPRISES","7"
"1F","Carmel Convent Jayanagara,JAYANAGARA 4TH T BLOCK,BESIDE THINK SPAN TECHNOLOGIES","8"
"1F","Jayanagara General Hospital,JAYANAGARA 4TH T BLOCK,RAJEEV GANDHI UNIVERSITY OF HEALTH","9"
"1F","Church,JAYANAGARA 4TH T BLOCK,BESIDE THASHI'S HERBAL","10"
"1F","Jayanagara 4th Block,TTMC","11"
"1F","Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS","12"
"1F","Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE","13"
"1F","Southend Circle,BASAVANAGUDI,BESIDE GANDHARVA FAMILY BAR","14"
"1F","Nagasandra Circle,BASAVANAGUDI,BESIDE PROSPER PARK APPARTMENT","15"
"1F","Netakallappa Circle,BASAVANAGUDI,OPPOSITE OF GURU RAGHAVENDRA BANK","16"
"1F","Basavanagudi Police Station,BASAVANAGUDI,BESIDE ACHIEVE SCHOOL OF EDUCATION","17"
"1F","Gandhi Bazaar,BASAVANAGUDI,BESIDE ASHOKA PLAZA","18"
"1F","Ramakrishna Ashrama,GAVIPURAM EXTENTION,OPPOSITE OF STATE BANK OF INDIA","19"
"1F","Bangalore High School,KEMPE GOWDA NAGARA,IN FRONT OF MORE MEGHA STORE","20"
"1F","Chamarajapet,CHAMARAJA PETE,BESIDE VENKUS & CO. PETROL BUNK","21"
"1F","Makkalakoota","22"
"1F","Krishnarajendra Market","23"
"CCC-1","City Civil Court","1"
"CCC-1","KR Circle,BESIDE DISTRICT TREASURY OFFICE","2"
"CCC-1","St Marthas Hospital,BESIDE POLICE HEAD QUARTERS","3"
"CCC-1","Corporation","4"
"CCC-1","Poornima Talkies,K.S.GARDEN,BESIDE KAVERI ENTERPRISES","5"
"CCC-1","Shanthi Nagara Bus Station,SHANTHI NAGAR,OPPOSITE TO SHANTHINAGAR TTMC","6"
"CCC-1","KH Road","7"
"CCC-1","Richmond Circle","8"
"CCC-1","StJosephs College","9"
"CCC-1","Mayohall","10"
"CCC-1","MG Road ","11"
"CCC-1","Shivajinagar Bus Station,SHIVAJI NAGARA,BESIDE BMTC BUS STAND","12"
"CCC-1","Indian Express","13"
"CCC-1","Vidhana Soudha","14"
"CCC-1","KR Circle,Post Office Road","15"
"CCC-1","City Civil Court","16"
"FDR-1","Vasanthapura,VASANTHAPURA,IN FRONT OF VASANTHA VALLABHARAYA SWAMY TEMPLE","1"
"FDR-1","Yadalam Nagara,YADALAM NAGARA,IN FRONT OF SRI MANIKANTA SOUND SYSTEM","2"
"FDR-1","Subramanyapura Co-operative Society,SUBRAMANYA PURA,BESIDE K.E.B.","3"
"FDR-1","Subramanyapura Police station,SUBRAMANYA PURA,IN FRONT OF YADALAM ADI LAKSHMAMMA SUBBAIAH SHETTY MIDDLE SCHOOL","4"
"FDR-1","Uttarahalli,UTHARAHALLI,IN FRONT OF PUBLIC LIBRARY UTHARAHALLI","5"
"FDR-1","Uttarahalli KR Hospital,UTHARAHALLI,IN FRONT OF I.C.I.C.I.BANK","6"
"FDR-1","Chikkalsandra Canara Bank Colony,CHIKKALASANDRA,BESIDE STATE BANK OF MYSORE","7"
"FDR-1","Chikkalsandra Aralimara,CHIKKALASANDRA,IN FRONT OF C.S.HOSPITAL","8"
"FDR-1","Gowdana palya,TELECOM NAGARA,BESIDE SRI BALAJI C.D.CENTRE","9"
"FDR-1","Prarthana School,PADMANABHA NAGARA","10"
"FDR-1","Kadirenahalli Village,KADIRENAHALLI,IN FRONT OF BELURU IYENGAR BAKERY","11"
"FDR-1","kadirenahalli cross,BANASHANKRI 2ND STAGE TEACHERS COLONY,BESIDE S.A.F00T WEAR","12"
"FDR-1","BANASHANKARI TTMC","13"
"FDR-1","Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER","14"
"FDR-1","Jayanagara 40th Cross","15"
"FDR-1","Telephone Exchange,JAYANAGARA 4TH BLOCK,BESIDE BSNL OFFICE","16"
"FDR-1","Jayanagara Bus Stand,JAYANAGARA 4TH BLOCK,BESIDE JAIN TEMPLE","17"
"FDR-1","Telephone Exchange,JAYANAGARA 5TH BLOCK,SAMSKRUTI BANQUET HALL","18"
"FDR-1","Jayanagara 40th Cross,JAYANAGARA 5TH BLOCK,BESIDE LIC OFFICE","19"
"FDR-1","Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE BANGALORE WATER SUPPLY","20"
"FDR-1","BANASHANKARI TTMC","21"
"FDR-1","Hunase Mara Banashankari","22"
"FDR-1","Monotype,BANASHANKARI, 2ND STAGE,BESIDE AVK & NSVK INSTITUTIONS","23"
"FDR-1","Banashankari BDA Complex,BANASHANKARI 2ND STAGE,BISIDE HDFC BANK","24"
"FDR-1","Indira Nursing Home,BANASHANKARI 2ND STAGE,OPPOSITE OF MUTHOOT FINANCE","25"
"FDR-1","Devegowda Petrol Bunk,BANASHANKARI 3RD STAGE,BESIDE BESCOM","26"
"FDR-1","Padmanabha Nagara,PADMANABHA NAGARA,OPPOSITE OF STATE BANK OF INDIA","27"
"FDR-1","Prarthana School,PADMANABHA NAGARA,OPPOSITE OF PRARTHANA SCHOOL","28"
"FDR-1","Gowdana palya,GOWDANA PALYA,OPPOSITE OF SRI BALAJI C.D.CENTRE","29"
"FDR-1","Chikkallasandra Aralimara,CHIKKALASANDRA,IN FRONT OF BESCOM OFFICE","30"
"FDR-1","Chikkalsandra Canara Bank Colony,CHIKKALASANDRA,OPPOSITE OF STATE BANK OF MYSORE","31"
"FDR-1","Uttarahalli KR Hospital,UTHARAHALLI,OPPOSITE OF I.C.I.C.I.BANK","32"
"FDR-1","Uttarahalli,UTHARAHALLI,BESIDE BMTC MAIN BUS STAND","33"
"FDR-1","Subramanyapura Police station,SUBRAMANYA PURA,IN FRONT OF POST OFFICE","34"
"FDR-1","Subramanyapura Co-operative Society,SUBRAMANYA PURA,OPPOSITE OF K.E.B.","35"
"FDR-1","Yadalam Nagara,YADALAM NAGARA,IN FRONT OF SMASHANA","36"
"FDR-1","Vasanthapura,VASANTHAPURA,IN FRONT OF VASANTHA VALLABHARAYA SWAMY TEMPLE","37"
"G-1","MG Road ","1"
"G-1","Trinity Circle","2"
"G-1","Military Accounts Office","3"
"G-1","Commando Hospital","4"
"G-1","Domlur","5"
"G-1","KODIHALLI","6"
"G-1","Manipal Hospital","7"
"G-1","Murgeshpalya,Opp.Sir MV COLLAGE","8"
"G-1","Rajeshwari Talkies","9"
"G-1","HAL Main Gate","10"
"G-1","Helicopter Division","11"
"G-1","HAL Kalyanamantapa","12"
"G-1","Borewell","13"
"G-1","Maratahalli","14"
"G-1","Maratahalli Bridge","15"
"G-1","Spice Garden","16"
"G-1","Kundalahalli Gate","17"
"G-1","Thubarahalli","18"
"G-1","Siddapura","19"
"G-1","Ramgundanhalli","20"
"G-1","Varthuru Kodi","21"
"G-1","Brook Bond","22"
"G-1","White Field","23"
"G-1","Old Sai Baba Hospitals","24"
"G-1","Munish Hospital","25"
"G-1","Hope Form","26"
"G-1","Prajwal School","27"
"G-1","Kadugodi","28"
"K-1","Central Silk Board","1"
"K-1","Madivala Mosque,KORAMANGALA 2ND BLOCK,IN FROUNT OF UJWAL FAB INDIA","2"
"K-1","Koramangala Water Tank,KORAMANGALA RING ROAD,OPPOSITE OF KARNATAKA BANK","3"
"K-1","BDA Complex koramangala,KORAMANGALA RING ROAD,OPPOSITE OF BDA COMPLEX","4"
"K-1","Canara Bank Koramangala,KORAMANGALA RING ROAD,BESIDE SPICE HOT SHOP","5"
"K-1","Jn of 80 and 100 Feet Road,KORAMANGALA RING ROAD,OPPOSITE OF OASIS CENTER & LIFE STYLE","6"
"K-1","Sreenivagilu,KORAMANGALA RING ROAD,BESIDE ASC NORTH COMPLEX","7"
"K-1","Military Bridge","8"
"K-1","Jn of New Bridge,DOMLURU,BESIDE GINGER COFFEE DAY","9"
"K-1","Domlur,DOMLURU,OPPOSITE OF HDFC BANK","10"
"K-1","Domlur Bridge","11"
"K-1","Doopanahalli,INDIRA NAGARA,BESIDE RELIANCE DIGITAL","12"
"K-1","New Horizon School,HAL 2ND STAGE,BESIDE NAC HOME","13"
"K-1","HAL 12th Main,HAL 2ND STAGE,BESIDE AXIS BANK","14"
"K-1","HAL 6th Main,HAL 2ND STAGE,BESIDE BANK OF BARODA","15"
"K-1","Indiranagar Police Station,INDIRA NAGARA,BESIDE POLICE STATION & K.F.C.","16"
"K-1","Indiranagar Double Road,INDIRA NAGARA,BESIDE MANYVARA, 13TH CROSS","17"
"K-1","Lakshmipura Ulsoor,INDIRA NAGARA,BESIDE BBMP BURIAL GROUND","18"
"K-1","Halasur","19"
"K-1","Trinity Circle","20"
"K-1","Manipal Centre,M.G.ROAD,BESIDE MILITARY GATE","21"
